충전소ID,충전기ID,2023년 01월 충전횟수,2023년 01월 충전량,2023년 02월 충전횟수,2023년 02월 충전량,2023년 03월 충전횟수,2023년 03월 충전량,2023년 04월 충전횟수,2023년 04월 충전량,2023년 05월 충전횟수,2023년 05월 충전량,2023년 06월 충전횟수,2023년 06월 충전량,2023년 07월 충전횟수,2023년 07월 충전량,2023년 08월 충전횟수,2023년 08월 충전량,2023년 09월 충전횟수,2023년 09월 충전량
ME181101,1,78,1006.78,62,889.53,69,962.2,55,613.23,79,833.67,34,346.76,16,144.33,14,66.69,9,64.67
ME181102,1,175,2360.97,120,1633.52,97,1439.91,96,1182.63,81,988.51,67,954.21,51,850.58,63,1039.2,83,1524.34
ME181133,1,98,1090.71,63,751.59,60,584.99,35,295.75,25,292.47,20,299.85,52,881.79,33,482.15,27,414.3
ME181133,2,84,1278.8,79,1138.39,89,1215.08,60,860.72,42,632.1,32,536.12,41,543.01,32,389.51,30,348.55
ME181150,12,54,1082.57,58,1182.09,49,947.28,34,736.37,35,632.58,29,425.04,26,460.98,19,371.98,17,300.6
ME181150,13,34,482.81,28,483.1,21,389.21,21,393.29,20,357.12,20,352.42,14,179.79,7,125.38,15,268.56
ME183001,1,320,5584.59,216,3495.88,195,3486.04,132,2292.89,148,2612.65,134,2225.1,107,1899.67,91,1505.21,95,1672.67
ME183002,1,192,2933.32,110,1647.53,102,1556.42,108,1850.1,79,1377.36,49,960,89,1687.91,113,1930.19,114,2177.85
ME183003,1,76,1088.1,61,918.82,63,1166.05,91,1692.99,86,1494.26,103,1507.47,96,1357.95,76,1161.73,83,1146.08
ME183004,1,233,4225.49,160,3032.7,150,2765.27,127,2448.02,83,1719.5,105,1971.19,108,2167.11,119,2265.26,120,2401.43
ME183005,1,28,420.27,14,239.24,18,287.22,25,368.61,26,384.96,42,658.96,42,635.08,71,1175.75,42,720.13
ME183006,1,241,4294.82,108,1953.63,103,1989.81,116,2221.76,207,3863.18,203,4107.5,222,4368.02,206,3950.31,104,2117.85
ME183007,1,195,3171.2,112,1806.95,145,2515.69,108,1935.07,64,1168.88,55,1032.9,64,1136.79,87,1491.74,56,921.76
ME183008,1,182,3500.62,137,2197.45,78,1378.51,86,1642.12,107,2008.91,99,1563.65,69,1468.83,68,1311.67,78,1613.05
ME183009,1,30,643.43,38,723.38,78,1671.93,74,1643.22,93,1991.98,67,1398.93,78,1679.65,81,1559.42,69,1334.65
ME183103,1,243,4625.9,207,3563.05,153,2555.32,179,2879.05,137,2411.23,147,2749.48,106,1877.07,124,1764.65,95,1433.6
ME183103,2,209,4347.25,203,4455.73,134,2872.74,107,2349.72,89,2183.56,70,1143.31,90,2184.28,85,1793.73,65,1353.55
ME183103,52,250,5566.28,253,5493.48,177,3649.17,196,4121.26,166,3949.1,113,2190.51,145,3244.06,157,3518.33,124,2640.66
ME183219,1,66,1158.42,61,982.13,60,686.84,59,786.83,45,564.88,46,536.91,55,607.43,41,529.23,46,675.32
ME183219,2,54,937.56,57,1074.42,57,1142.07,59,1330.63,43,799.52,37,738.94,41,653.48,36,563.69,32,391.47
ME183219,52,51,775.86,54,1039.48,41,701.9,40,644.63,29,569.8,30,539.49,34,477,25,327.43,29,406.09
ME184075,1,128,1964.28,82,1243.93,54,796.98,58,1006.13,47,622.06,50,585.33,79,931.08,77,857.91,62,667.96
ME184076,1,179,2336.49,143,1896.83,153,2058.54,134,1604.24,120,1465.59,141,1856.55,151,1941.68,142,2267.08,98,1605.8
ME184077,1,122,1670.02,85,1150.7,147,2331.36,133,2070.28,155,2458.17,145,2299.37,152,2446.46,136,2231.31,138,2331.25
ME18A002,1,190,2382.36,83,587.89,119,1830.19,150,2313.13,170,2733.58,178,3019.07,198,2935.42,199,3095.54,123,1664.49
ME18A002,2,164,2582.99,114,1613.72,156,2093.25,199,2837.45,185,2425.87,187,2335.18,208,2647.05,167,2118.4,133,1794.52
ME18A002,3,43,255.15,11,114.52,1,0.97,0,0,0,0,0,0,0,0,0,0,0,0
